id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
39524,Unisex,Accessories,Bags,Laptop Bag,Orange,Summer,2012,Casual,Peter England Unisex Orange Sleeve Bag
33822,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012,Sports,Puma Men Axis White & Grey Sports Shoes
58513,Women,Apparel,Topwear,Tops,Off White,Summer,2012,Casual,Tonga Women Maroon Top
25947,Women,Accessories,Scarves,Scarves,Brown,Summer,2012,Casual,Femella Women Brown Scarf
52029,Unisex,Apparel,Topwear,Rain Jacket,Coffee Brown,Summer,2012,NA,Just Natural Unisex Charcoal Rain Jacket
5865,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,ADIDAS Men's Twelve Faster T-shirt
39716,Women,Apparel,Dress,Dresses,Blue,Summer,2012,Casual,Arrow Woman Women Blue Dress
25349,Men,Apparel,Innerwear,Briefs,Red,Summer,2016,Casual,Levis Men Red Brief
11940,Men,Footwear,Sandal,Sandals,Black,Summer,2011,Casual,Ganuchi Men Casual Black Sandals
55802,Women,Apparel,Loungewear and Nightwear,Night suits,White,Summer,2017,Casual,SDL by Sweet Dreams Women Green Printed Night Suit S11-3124
29584,Men,Apparel,Topwear,Tshirts,Black,Summer,2012,Casual,Indigo Nation Men Printed Black T-shirt
43967,Women,Personal Care,Fragrance,Perfume and Body Mist,Red,Spring,2017,Casual,DKNY Women Red Delicious Perfume
28456,Women,Apparel,Bottomwear,Skirts,Blue,Summer,2012,Sports,Urban Yoga Women Blue Skirt With Leggings
34009,Girls,Apparel,Topwear,Tops,Black,Summer,2012,Casual,Gini and Jony Girls Black Top
19311,Men,Footwear,Shoes,Casual Shoes,White,Fall,2011,Casual,Nike Men Air Rift MTR White Casual Shoe
42089,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012,Sports,ADIDAS Men White Corona Sports Shoes
22950,Unisex,Accessories,Watches,Watches,Black,Winter,2016,Casual,Fastrack Unisex Black Dial Watch 9915PP13
49461,Men,Footwear,Shoes,Casual Shoes,Blue,Summer,2012,Casual,Vans Men Blue Era Scilla Plaid Shoes
8746,Unisex,Footwear,Flip Flops,Flip Flops,Navy Blue,Summer,2015,Casual,Crocs Kids Navy Blue Clogs
9694,Men,Apparel,Topwear,Tshirts,White,Fall,2011,Casual,Classic Polo Men Vulcan White Polo Tshirts
23882,Men,Footwear,Shoes,Sports Shoes,Grey,Fall,2011,Sports,Fila Men Destiny Grey Sports Shoes
34835,Men,Footwear,Shoes,Sports Shoes,Blue,Summer,2012,Sports,ADIDAS Men Blue Chill Sports Shoes
15984,Men,Apparel,Topwear,Shirts,Yellow,Fall,2011,Casual,Turtle Check Men Yellow Shirt
41268,Men,Accessories,Wallets,Wallets,Black,Summer,2012,Casual,Arrow Men Black Wallet
11518,Women,Footwear,Shoes,Heels,Grey,Winter,2015,Casual,Catwalk Women Gun Metal Grey Heels
14856,Women,Accessories,Wallets,Wallets,Beige,Summer,2011,Casual,United Colors of Benetton Women Solid Beige Wallets
33648,Men,Footwear,Sandal,Sandals,Brown,Summer,2012,Casual,Lotto Men Ridge Brown Sandals
59297,Men,Apparel,Topwear,Shirts,White,Fall,2012,Casual,U.S. Polo Assn. Men White & Navy Blue Shirt
28032,Men,Apparel,Innerwear,Briefs,White,Summer,2016,Casual,Jockey ELANCE Men Bikini White Brief 1005
27846,Women,Apparel,Topwear,Blazers,Charcoal,Summer,2012,Formal,Scullers For Her Charcoal Blazer
26994,Women,Apparel,Bottomwear,Jeans,Black,Summer,2012,Casual,Jealous 21 Women Black Jeans
49839,Women,Footwear,Flip Flops,Flip Flops,Red,Winter,2012,Casual,iPanema Women Red Flip Flops
31923,Women,Accessories,Bags,Handbags,Blue,Summer,2012,Casual,Fabindia Women Blue Silk Sling Bag
2618,Women,Footwear,Shoes,Flats,Silver,Spring,2010,Casual,Carlton London Women Silver Wedge Sandal
54588,Women,Apparel,Topwear,Kurtas,Green,Summer,2012,Ethnic,Sushilas Women Printed Green Kurta
49005,Women,Accessories,Jewellery,Ring,Silver,Summer,2012,Casual,Lucera Women Silver Ring
8322,Boys,Apparel,Topwear,Tshirts,Blue,Fall,2011,Casual,Doodle Boy's Route 66 Biker Blue Teen Kidswear
13841,Unisex,Accessories,Watches,Watches,White,Winter,2016,Casual,ADIDAS Unisex Three Small Dials White Watches
28200,Men,Accessories,Eyewear,Sunglasses,Copper,Winter,2016,Casual,Ray-Ban Men Active Lifestyle Copper Sunglasses
12993,Unisex,Footwear,Shoes,Sports Shoes,Black,Fall,2011,Sports,ADIDAS Kids Adispeed Black Sports Shoes
7158,Men,Apparel,Topwear,Shirts,Green,Fall,2011,Casual,Scullers Men  Green Check Shirt
18495,Men,Footwear,Sandal,Sandals,White,Fall,2011,Casual,Puma Men Fashion Cat White Slipper
8110,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Fastrack Men Economy 2 Analg Black Watch
19547,Men,Apparel,Topwear,Sweatshirts,Blue,Fall,2011,Casual,United Colors of Benetton Men Solid Blue Sweatshirt
7964,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Sports,Puma Men's Large Logo Graphic Black T-shirt
36934,Women,Personal Care,Fragrance,Perfume and Body Mist,Gold,Spring,2017,Casual,Giorgio Armani Women Idole Perfume
39140,Women,Apparel,Apparel Set,Kurta Sets,Black,Summer,2012,Ethnic,Aneri Women Black & Maroon Salwar Suit
20851,Women,Accessories,Bags,Clutches,Red,Winter,2015,Casual,Spice Art Women Ribbon Embroidery Red Clutch
41866,Men,Footwear,Sandal,Sandals,Beige,Fall,2015,Casual,Estd. 1977 Men Beige & Green Sandals
58177,Women,Accessories,Bags,Handbags,Brown,Summer,2012,Casual,Rocky S Women Brown Handbag
44528,Men,Footwear,Sandal,Sandals,Black,Summer,2012,Casual,Coolers Men Black Sandals
16392,Men,Apparel,Topwear,Shirts,Red,Fall,2011,Casual,Levis Men Check Red Shirts
51455,Women,Apparel,Topwear,Shrug,Pink,Summer,2012,Casual,Tonga Women Pink Printed Shrug
50587,Men,Apparel,Innerwear,Briefs,Grey,Summer,2016,Casual,Chromozome Men Grey Briefs
17240,Men,Apparel,Topwear,Tshirts,Black,Fall,2011,Casual,U.S. Polo Assn. Men Stripes Black  Polo Tshirt
47530,Women,Footwear,Shoes,Flats,Copper,Winter,2012,Casual,Portia Women Copper-Toned & Brown Sandals
6617,Men,Apparel,Topwear,Shirts,Black,Summer,2011,Casual,Spykar Men Black and white Check Shirt
12732,Unisex,Accessories,Bags,Backpacks,Black,Fall,2011,Sports,Nike Unisex Swoosh Black Backpack
3365,Men,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,Myntra Men's Brain Black T-shirt
42042,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012,Sports,Nike Men Air Relentless 2 MSL White Sports Shoes
23849,Men,Footwear,Shoes,Casual Shoes,Black,Fall,2011,Casual,ADIDAS Men Black Anzo Breeze Casual Shoes
43190,Women,Accessories,Watches,Watches,White,Winter,2016,Casual,Fastrack Women White Dial Watch
48578,Men,Accessories,Jewellery,Bracelet,Steel,Summer,2012,Casual,Revv Men Steel Bracelet
30462,Women,Apparel,Innerwear,Bra,Black,Summer,2014,Casual,Lovable Women All Day Long Black Bra
18208,Men,Accessories,Headwear,Caps,White,Fall,2011,Casual,Manchester United Men Solid White Cap
54127,Women,Footwear,Shoes,Heels,Black,Winter,2012,Casual,Rocia Women Black Heels
10065,Men,Apparel,Topwear,Tshirts,Yellow,Fall,2011,Casual,Puma Men ducati logo tee Yellow Tshirts
24250,Men,Footwear,Shoes,Casual Shoes,White,Fall,2012,Casual,Numero Uno Men White Casual Shoes
32335,Men,Accessories,Watches,Watches,Silver,Winter,2016,Casual,Q&Q Men Silver-Toned Dial Analogue Watch Q252J404Y
25382,Men,Apparel,Innerwear,Innerwear Vests,White,Summer,2016,Casual,Levis Men White Innerwear Vest
56670,Men,Accessories,Watches,Watches,Black,Winter,2016,Casual,Maxima Men Black Dial Watch
5092,Men,Apparel,Topwear,Tshirts,Purple,Summer,2011,Casual,Wrangler Men's Minstrel Shoulder Loop Purple T-shirt
10859,Men,Apparel,Topwear,Tshirts,Navy Blue,Fall,2011,Casual,Wrangler Men Furious Rides Navy Blue T-Shirts
59638,Women,Apparel,Saree,Sarees,Green,Fall,2012,Ethnic,FNF Green Wedding Collection Sari
15517,Men,Footwear,Shoes,Casual Shoes,Red,Fall,2011,Casual,Rockport Men LLandro Red Casual Shoes
4140,Women,Footwear,Shoes,Casual Shoes,Green,Winter,2015,Casual,Skechers Women Green Shoe
36795,Men,Accessories,Watches,Watches,Silver,Winter,2016,Casual,Maxima Men Ssteele Silver Dial Watch
40527,Men,Accessories,Watches,Watches,Gold,Winter,2016,Casual,Titan Men Gold Dial Watch
10257,Men,Apparel,Bottomwear,Trousers,Black,Fall,2011,Formal,John Miller Men Solid Type Black Trousers
24062,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2012,Casual,Locomotive Men Navy Blue Printed T-shirt
45869,Men,Accessories,Watches,Watches,Brown,Winter,2016,Casual,Maxima Men Brown Dial Watch
11385,Women,Apparel,Topwear,Sweatshirts,Black,Fall,2011,Casual,United Colors Of Benetton Women Light Winter Black Sweatshirts
53130,Women,Footwear,Shoes,Flats,Brown,Winter,2015,Casual,Catwalk Women Brown Sandals
44187,Women,Personal Care,Fragrance,Perfume and Body Mist,White,Spring,2017,Casual,Nike Fragrances Women 5th Element Perfume 150 ml
21510,Women,Accessories,Bags,Handbags,White,Winter,2015,Casual,Kiara Women Graphiti White Handbag
51667,Men,Accessories,Eyewear,Sunglasses,Grey,Winter,2016,Casual,Louis Philippe Men Grey Sunglasses
22395,Men,Apparel,Topwear,Shirts,Blue,Fall,2011,Casual,Mark Taylor Men Striped Blue Shirt
35322,Women,Accessories,Jewellery,Earrings,Silver,Winter,2016,Ethnic,Fabindia Women Anusuya Silver Earrings
6425,Unisex,Footwear,Shoes,Casual Shoes,Black,Summer,2011,Casual,Lotto Unisex Canvas Black Check Shoe
18806,Men,Accessories,Belts,Belts,Tan,Summer,2011,Casual,Peter England Men Casual Tan Belt
23247,Men,Footwear,Shoes,Formal Shoes,Black,Fall,2011,Formal,Arrow Men Formal Black Shoe
17072,Women,Accessories,Belts,Belts,Grey,Winter,2015,Casual,Lino Perros Women Weaved  Grey Belt
31782,Women,Apparel,Topwear,Tops,Blue,Summer,2012,Casual,Lee Women Paula Blue Top
42270,Unisex,Footwear,Shoes,Casual Shoes,Black,Summer,2012,Casual,Vans Unisex Black & Grey Classic Shoes
12500,Men,Apparel,Topwear,Shirts,Black,Fall,2011,Casual,United Colors of Benetton Men Short Black Shirts
26735,Men,Personal Care,Fragrance,Deodorant,Black,Spring,2017,Casual,Reebok Men Pack of 2 Pirates of the Caribbean Deos
30650,Men,Apparel,Topwear,Tshirts,Black,Summer,2012,Casual,Nike Men Printed Black T-shirt
56026,Women,Personal Care,Lips,Lipstick,Brown,Spring,2017,Casual,Colorbar Soft Touch Mousse Lipstick 025
21948,Women,Accessories,Bags,Handbags,Brown,Winter,2015,Casual,Murcia Women Casual Brown Handbag
32563,Women,Apparel,Bottomwear,Trousers,Blue,Summer,2012,Casual,ONLY Women directoire blue Trousers
58980,Women,Personal Care,Fragrance,Deodorant,Pink,Spring,2017,Casual,Colour me Women Flowers Deo
40143,Girls,Apparel,Topwear,Tops,Blue,Summer,2012,Casual,Gini and Jony Girls Pretty Blossom Blue Top
10633,Men,Footwear,Shoes,Formal Shoes,Brown,Fall,2011,Formal,Carlton London Men Formal Brown Formal Shoes
24406,Women,Apparel,Topwear,Kurtas,Red,Summer,2012,Ethnic,Vishudh Women Red Printed Kurta
4716,Unisex,Accessories,Watches,Watches,Black,Winter,2016,Sports,ADIDAS Unisex Response ST Analogue Black Watch
21174,Women,Apparel,Topwear,Tops,Beige,Fall,2011,Casual,s.Oliver Women Stripes Beige Top
15341,Women,Apparel,Bottomwear,Shorts,Pink,Fall,2011,Sports,Nike Women Solid Pink Shorts
52486,Women,Apparel,Innerwear,Camisoles,Maroon,Winter,2015,Casual,Red Rose Maroon Camisole
53554,Men,Apparel,Innerwear,Boxers,Multi,Summer,2016,Casual,Probase Multicoloured Printed Boxers
14293,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011,Casual,Classic Polo Men Stripes Blue Tshirts
47366,Women,Accessories,Bags,Handbags,Blue,Summer,2012,Casual,Baggit Women Blue Bag
6041,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2011,Casual,UCB Men's Polo Neck With Lion Logo Navy Blue T-shirt
23623,Girls,Apparel,Topwear,Tops,Pink,Fall,2011,Casual,Doodle Kids Girls Pink I love Shopping Top
17416,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2011,Sports,Lotto Men Atlantica Black Sports Shoe
9835,Women,Apparel,Topwear,Tshirts,Grey,Fall,2011,Casual,Little Miss Women Printed Grey T-shirt
29319,Unisex,Accessories,Bags,Backpacks,Red,Summer,2012,Casual,ADIDAS Unisex Chicago Bulls Red Backpack
7193,Women,Apparel,Bottomwear,Jeans,Black,Fall,2011,Casual,Jealous 21 Women Black Jegging
12958,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2011,Sports,ADIDAS Men Sports Black Sports Shoes
27283,Women,Apparel,Topwear,Kurtas,Magenta,Fall,2011,Ethnic,Mother Earth Women Magenta Kurta
30234,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,2012,Casual,Numero Uno Men Black Flip Flops
9009,Women,Accessories,Bags,Handbags,Brown,Winter,2015,Casual,Murcia Women Snake Print Bag Brown Handbags
3533,Men,Apparel,Topwear,Tshirts,Navy Blue,Summer,2011,Casual,Myntra Men's If You Don't Like Navy Blue T-shirt
42614,Women,Accessories,Jewellery,Jewellery Set,Gold,Winter,2016,Casual,Estelle Women Earrings & Pendant Set
12164,Women,Apparel,Topwear,Dupatta,Orange,Fall,2011,Ethnic,Aurelia Women Voile Orange Dupatta
26351,Women,Accessories,Watches,Watches,White,Winter,2016,Casual,DKNY Women White Dial Watch NY8472
17624,Men,Apparel,Bottomwear,Track Pants,Navy Blue,Fall,2011,Sports,ADIDAS Men Solid Navy Blue Track Pant
47154,Girls,Apparel,Bottomwear,Capris,Black,Summer,2012,Casual,Gini and Jony Girls Black Capris
35574,Men,Footwear,Flip Flops,Flip Flops,Red,Summer,2013,Casual,Gliders Men Esquire Red Flip Flops
46086,Women,Footwear,Shoes,Sports Shoes,Lavender,Summer,2012,Sports,ADIDAS Women Lavender Hagkok Sports Shoes
51031,Women,Apparel,Innerwear,Bra,White,Summer,2017,Casual,Enamor White Bra
13284,Men,Apparel,Bottomwear,Shorts,Black,Fall,2011,Casual,Gini and Jony Kids Boys Solid Black Shorts
54543,Men,Footwear,Shoes,Sports Shoes,White,Fall,2012,Casual,F Sports Men White Outlander Sports Shoes
55491,Women,Personal Care,Lips,Lip Gloss,Brown,Spring,2017,Casual,Revlon Gold Dust Poussiere Doree Colorburst Lip Gloss 024
26163,Men,Apparel,Bottomwear,Trousers,Grey,Summer,2012,Formal,John Miller Men Dark Grey Trousers
3701,Women,Apparel,Topwear,Tshirts,Black,Summer,2011,Casual,Tantra Women Flower Heart Black Long T-shirt
29917,Men,Accessories,Watches,Watches,White,Winter,2016,Casual,Police Men White Dial Watch PL12698JS
42426,Women,Apparel,Topwear,Kurtas,Sea Green,Summer,2012,Ethnic,Aurelia Women Sea Green Kurta
32751,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012,Casual,FILA Men Liga II Black Shoes
56214,Women,Accessories,Jewellery,Earrings,Gold,Winter,2016,Casual,Estelle Women Gold Earrings
10401,Women,Apparel,Topwear,Tops,Purple,Fall,2011,Casual,Jealous 21 Women Uaine Purple Tops
40371,Women,Apparel,Bottomwear,Jeans,Navy Blue,Summer,2012,Casual,Tokyo Talkies Women Navy Slim Fit Jeans
21346,Men,Accessories,Eyewear,Sunglasses,Gold,Winter,2016,Casual,Pal Zileri Men Casual Gold Frame Sunglasses
45603,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2012,Formal,Arrow Men Black Formal Shoes
4524,Men,Footwear,Shoes,Sports Shoes,Black,Summer,2011,Sports,Puma Men's YugoRun Black White Shoe
37223,Women,Apparel,Topwear,Tops,Blue,Summer,2012,Casual,United Colors of Benetton Women Blue Top
53766,Men,Apparel,Topwear,Tshirts,White,Summer,2012,Casual,Puma Men White and Navy Blue T-shirt
25520,Girls,Apparel,Topwear,Tops,White,Fall,2011,Casual,Doodle Kids Girls City Chic White Top
32597,Women,Apparel,Topwear,Tops,Black,Summer,2012,Casual,ONLY Women Black Top
58974,Men,Personal Care,Fragrance,Deodorant,Gold,Spring,2017,Casual,Colour me Men Gold Deo
33445,Women,Accessories,Wallets,Wallets,Black,Summer,2012,Casual,Baggit Women Lamboo Mayur Black Wallet
57100,Women,Apparel,Topwear,Tops,Pink,Summer,2012,Casual,Elle Women Dark Pink Top
36137,Women,Footwear,Shoes,Sports Shoes,Pink,Summer,2012,Sports,Nike Women Free Run Pink Sports Shoes
41859,Men,Footwear,Sandal,Sandals,Black,Summer,2016,Casual,Estd. 1977 Men Black Sandals
21180,Men,Footwear,Flip Flops,Flip Flops,Black,Summer,2011,Casual,ADIDAS Men Adi Cells Black Flip Flops
39943,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,2013,Casual,GAS Men Brown Count Casual Shoes
52472,Women,Apparel,Loungewear and Nightwear,Bath Robe,Pink,Winter,2015,Casual,Red Rose Women White & Pink Polka Dot Print Bath Robe
58148,Unisex,Accessories,Headwear,Caps,White,Fall,2012,Casual,Puma Unisex White Cap
20052,Women,Accessories,Mufflers,Mufflers,Yellow,Fall,2011,Casual,United Colors Of Benetton Women Yellow Muffler
5630,Women,Footwear,Flip Flops,Flip Flops,Blue,Summer,2011,Casual,ADIDAS Women's Adi Groove Blue Flip Flop
44517,Men,Footwear,Flip Flops,Flip Flops,Brown,Summer,2013,Casual,Coolers Men Brown Pokar Flip Flops
